iter	Passed	Remaining
431	1660	2182
432	1663	2178
433	1667	2174
434	1671	2170
435	1676	2168
436	1679	2163
437	1681	2157
438	1684	2152
439	1687	2147
440	1689	2142
441	1692	2136
442	1695	2131
443	1697	2126
444	1700	2121
445	1704	2116
446	1707	2112
447	1711	2108
448	1714	2104
449	1718	2100
450	1721	2095
451	1724	2091
452	1728	2086
453	1731	2082
454	1734	2077
455	1738	2074
456	1742	2069
457	1745	2065
458	1750	2062
459	1753	2058
460	1759	2057
461	1763	2053
462	1767	2049
463	1772	2046
464	1776	2043
465	1779	2039
466	1783	2035
467	1786	2031
468	1790	2026
469	1792	2021
470	1796	2017
471	1799	2013
472	1802	2008
473	1807	2005
474	1811	2002
475	1815	1998
476	1818	1994
477	1822	1990
478	1825	1985
479	1828	1981
480	1831	1976
481	1834	1971
482	1838	1968
483	1841	1962
484	1844	1958
485	1847	1954
486	1851	1950
487	1855	1947
488	1860	1943
489	1863	1939
490	1867	1935
491	1871	1932
492	1874	1928
493	1878	1924
494	1882	1920
495	1885	1916
496	1889	1911
497	1892	1907
498	1896	1903
499	1900	1900
500	1903	1896
501	1907	1892
502	1911	1888
503	1914	1884
504	1918	1880
505	1922	1877
506	1926	1873
507	1930	1869
508	1933	1865
509	1937	1861
510	1942	1859
511	1946	1855
512	1950	1851
513	1953	1847
514	1957	1843
515	1960	1839
516	1964	1835
517	1967	1830
518	1971	1826
519	1974	1822
520	1978	1819
521	1981	1814
522	1985	1810
523	1989	1806
524	1992	1802
525	1995	1798
526	1999	1794
527	2002	1790
528	2006	1786
529	2010	1782
530	2013	1778
531	2018	1775
532	2022	1772
533	2025	1767
534	2028	1763
535	2032	1759
536	2036	1755
537	2040	1752
538	2047	1750
539	2052	1748
540	2058	1746
541	2062	1742
542	2068	1740
543	2077	1741
544	2082	1738
545	2087	1735
546	2091	1732
547	2096	1729
548	2100	1725
549	2105	1722
550	2109	1718
551	2113	1715
552	2117	1711
553	2121	1707
554	2126	1705
555	2130	1701
556	2134	1697
557	2137	1693
558	2141	1689
559	2146	1686
560	2151	1683
561	2155	1679
562	2162	1678
563	2171	1678
564	2175	1674
565	2179	1671
566	2184	1668
567	2190	1665
568	2195	1662
569	2201	1660
570	2207	1658
571	2211	1654
572	2214	1650
573	2217	1646
574	2220	1641
575	2223	1636
576	2226	1632
577	2230	1628
578	2233	1623
579	2236	1619
580	2239	1615
581	2243	1610
582	2246	1606
583	2249	1602
584	2251	1597
585	2254	1592
586	2257	1588
587	2260	1583
588	2263	1579
589	2266	1575
590	2269	1570
591	2272	1566
592	2276	1562
593	2279	1557
594	2282	1553
595	2285	1549
596	2287	1544
597	2290	1540
598	2294	1535
599	2297	1531
600	2300	1527
601	2303	1522
602	2307	1519
603	2310	1514
604	2313	1510
605	2316	1506
606	2320	1502
607	2323	1498
608	2327	1494
609	2329	1489
610	2332	1485
611	2336	1481
612	2339	1476
613	2342	1472
614	2345	1468
615	2348	1463
616	2350	1459
617	2353	1454
618	2356	1450
619	2359	1446
620	2362	1441
621	2364	1437
622	2367	1432
623	2370	1428
624	2374	1424
625	2377	1420
626	2379	1415
627	2382	1411
628	2385	1406
629	2388	1402
630	2391	1398
631	2394	1394
632	2397	1389
633	2399	1385
634	2402	1380
635	2404	1376
636	2407	1372
637	2410	1367
638	2413	1363
639	2417	1360
640	2422	1356
641	2427	1353
642	2432	1350
643	2437	1347
644	2441	1343
645	2444	1339
646	2449	1336
647	2453	1332
648	2457	1329
649	2460	1324
650	2463	1320
651	2468	1317
652	2473	1314
653	2477	1310
654	2481	1306
655	2484	1302
656	2489	1299
657	2493	1295
658	2497	1292
659	2501	1288
660	2505	1285
661	2509	1281
662	2512	1277
663	2516	1273
664	2521	1270
665	2525	1266
666	2528	1262
667	2533	1259
668	2537	1255
669	2540	1251
670	2544	1247
671	2548	1244
672	2555	1241
673	2564	1240
674	2571	1237
675	2575	1234
676	2580	1231
677	2585	1227
678	2589	1224
679	2594	1220
680	2598	1217
681	2602	1213
682	2606	1209
683	2611	1206
684	2616	1203
685	2621	1199
686	2626	1196
687	2630	1193
688	2635	1189
689	2640	1186
690	2644	1182
691	2649	1179
692	2654	1176
693	2660	1173
694	2667	1170
695	2673	1167
696	2678	1164
697	2682	1160
698	2686	1156
699	2689	1152
700	2694	1149
701	2700	1146
702	2705	1143
703	2709	1139
704	2714	1135
705	2718	1132
706	2721	1127
707	2725	1124
708	2729	1120
709	2733	1116
710	2737	1112
711	2742	1109
712	2745	1105
713	2749	1101
714	2752	1097
715	2758	1094
716	2761	1090
717	2765	1086
718	2768	1081
719	2771	1077
720	2775	1073
721	2778	1069
722	2781	1065
723	2785	1061
724	2792	1059
725	2796	1055
726	2800	1051
727	2803	1047
728	2806	1043
729	2810	1039
730	2813	1035
731	2816	1031
732	2820	1027
733	2823	1023
734	2826	1019
735	2829	1015
736	2833	1011
737	2837	1007
738	2841	1003
739	2845	999
740	2851	996
741	2854	992
742	2858	988
743	2862	984
744	2866	981
745	2870	977
746	2873	973
747	2879	970
